City,District,Name of the Hotel
上海,徐汇区,建国宾馆
上海,徐汇区,漫心酒店
上海,徐汇区,汉庭酒店
上海,徐汇区,假日宾馆
上海,徐汇区,新惠宾馆
上海,徐汇区,全季酒店
上海,徐汇区,光大会展酒店
上海,徐汇区,禧明酒店
上海,徐汇区,委酒店
上海,黄浦区,全季酒店
上海,黄浦区,如家快捷酒店
上海,黄浦区,和颐酒店
上海,黄浦区,中星君亭酒店
上海,黄浦区,桔子酒店
上海,黄浦区,康铂酒店
上海,黄浦区,豫园万丽酒店
上海,黄浦区,锦江国际酒店
上海,黄浦区,锦江金门大酒店
上海,崇明县,鸿华度假酒店
上海,崇明县,格林豪泰酒店
上海,崇明县,滨江度假中心
上海,崇明县,崇明岛酒店
上海,虹口区,富悦大酒店
上海,虹口区,宝隆酒店
上海,虹口区,天虹国际大酒店
上海,杨浦区,智选假日酒店蓝天宾馆
上海,杨浦区,莫泰国168酒店
上海,杨浦区,日德姆酒店
上海,杨浦区,格林豪泰酒店
上海,杨浦区,柏阳郡亭酒店
上海,闵行区,亚朵酒店
上海,闵行区,希岸轻雅酒店
上海,闵行区,锦江之心
上海,闵行区,假日智选酒店
上海,闵行区,海客瀛洲酒店
上海,闵行区,全季酒店
上海,闵行区,白玉兰
上海,静安区,如家酒店
上海,静安区,上海宾馆
上海,静安区,北方假日智选酒店
上海,静安区,宝华万豪酒店
上海,静安区,静安CitiGO酒店
上海,静安区,百乐门精品酒店
上海,金山区,金山格林豪泰酒店
上海,金山区,海立方酒店
上海,金山区,维也纳酒店
上海,金山区,金山滨海铂丽酒店
上海,金山区,安姆酒店
上海,金山区,锦江之心
上海,宝山区,锦怡酒店
上海,宝山区,庭酒店
上海,宝山区,宝山易佰酒店
上海,宝山区,城市便捷酒店
上海,宝山区,曙光薇酒店
上海,青浦区,国展美居酒店
上海,青浦区,智选假日酒店
上海,青浦区,希尔顿花园酒店
上海,奉贤区,格雷斯精选酒店
上海,奉贤区,铂丽酒店
上海,普陀区,维也纳酒店
上海,普陀区,锦江之心
上海,普陀区,绿地普陀智选假日酒店
上海,普陀区,如家精选酒店
上海,松江区,旗山大酒店
上海,松江区,锦江之心
上海,松江区,维也纳酒店
上海,松江区,佑舍精品酒店
上海,松江区,泗泾人才公寓
上海,松江区,欢乐谷嘉途酒店
上海,松江区,松江大众会议中心
上海,松江区,富悦大酒店
上海,松江区,学苑宾馆
上海,松江区,久亭天地美居酒店
上海,嘉定区,美程酒店
上海,嘉定区,全季酒店
上海,嘉定区,嘉定新城智选假日酒店
上海,嘉定区,维也纳国际酒店
上海,嘉定区,汉庭酒店
上海,嘉定区,桔子酒店
上海,嘉定区,颖奕皇冠酒店
上海,嘉定区,绿地铂丽酒店
上海,浦东新区,长荣温德姆至尊豪庭酒店
上海,浦东新区,锦江希尔顿逸林酒店
上海,浦东新区,丽枫酒店
上海,浦东新区,如意智慧酒店
上海,浦东新区,维也纳酒店
上海,浦东新区,皇冠假日酒店
上海,浦东新区,全季酒店
上海,浦东新区,亚朵酒店
上海,浦东新区,航空酒店
上海,浦东新区,东江名城大酒店
上海,浦东新区,鹿安酒店
上海,浦东新区,绿地铂骊酒店
上海,浦东新区,迪航精品酒店
上海,浦东新区,维也纳国际酒店
上海,浦东新区,黄廷世纪酒店
上海,浦东新区,绿地假日酒店
上海,浦东新区,克莱福诺富特酒店
上海,浦东新区,万和吴美艺术酒店
上海,浦东新区,上海麒臻酒店
上海,浦东新区,三甲港铂瑞酒店
